TYPE,i,j,d,k,VALUE,LABEL,ATOM_LABELS
R,0,1,,,1.5080041644504834,R(0-1),C-C
R,0,5,,,1.5266428658988975,R(0-5),C-C
R,0,6,,,1.0914712914227294,R(0-6),C-H
R,0,7,,,1.0930387870519511,R(0-7),C-H
R,0,8,,,1.9147767755015206,R(0-8),C-H
R,1,2,,,1.3964774613290398,R(1-2),C-O
R,1,8,,,0.8000392115390346,R(1-8),C-H
R,1,9,,,1.0971910909226341,R(1-9),C-H
R,2,3,,,1.4038904373205197,R(2-3),O-C
R,2,8,,,1.7667867839668714,R(2-8),O-H
R,3,4,,,1.391242196743615,R(3-4),C-O
R,3,10,,,1.103855284899248,R(3-10),C-H
R,3,11,,,1.0876103622161752,R(3-11),C-H
R,4,5,,,1.4148047886546045,R(4-5),O-C
R,5,12,,,1.0999517671243593,R(5-12),C-H
R,5,13,,,1.0893375877109905,R(5-13),C-H
R,6,7,,,1.7710699054526335,R(6-7),H-H
R,8,9,,,1.5224802166202358,R(8-9),H-H
R,10,11,,,1.8020765272318486,R(10-11),H-H
R,12,13,,,1.7757554871096415,R(12-13),H-H
A,1,0,2.0,,0.5667066181450114,A(1-0-2),C-C-O
A,1,0,3.0,,0.9899363499020752,A(1-0-3),C-C-C
A,1,0,4.0,,1.5138752560369846,A(1-0-4),C-C-O
A,1,0,5.0,,1.8991126278490988,A(1-0-5),C-C-C
A,1,0,6.0,,1.9299139049133998,A(1-0-6),C-C-H
A,1,0,7.0,,1.909889233603396,A(1-0-7),C-C-H
A,1,0,8.0,,0.4082470731173467,A(1-0-8),C-C-H
A,1,0,9.0,,0.4711180622462209,A(1-0-9),C-C-H
A,1,0,10.0,,0.9544427709476399,A(1-0-10),C-C-H
A,1,0,11.0,,1.0269589547345097,A(1-0-11),C-C-H
A,1,0,12.0,,1.697183379835612,A(1-0-12),C-C-H
A,1,0,13.0,,2.371149552259474,A(1-0-13),C-C-H
A,2,0,3.0,,0.5304479441084554,A(2-0-3),O-C-C
A,2,0,4.0,,1.0070422831877812,A(2-0-4),O-C-O
A,2,0,5.0,,1.5188998768857043,A(2-0-5),O-C-C
A,2,0,6.0,,2.4888559454090364,A(2-0-6),O-C-H
A,2,0,7.0,,1.6666590610933487,A(2-0-7),O-C-H
A,2,0,8.0,,0.8115442541095469,A(2-0-8),O-C-H
A,2,0,9.0,,0.9282908169020743,A(2-0-9),O-C-H
A,2,0,10.0,,0.7052673896700183,A(2-0-10),O-C-H
A,2,0,11.0,,0.5049089600770922,A(2-0-11),O-C-H
A,2,0,12.0,,1.5587251192005778,A(2-0-12),O-C-H
A,2,0,13.0,,1.9121762234903001,A(2-0-13),O-C-H
A,3,0,4.0,,0.5251977656780745,A(3-0-4),C-C-O
A,3,0,5.0,,0.9887701410541485,A(3-0-5),C-C-C
A,3,0,6.0,,2.5583336157457066,A(3-0-6),C-C-H
A,3,0,7.0,,1.8340174357091619,A(3-0-7),C-C-H
A,3,0,8.0,,1.3220119350758297,A(3-0-8),C-C-H
A,3,0,9.0,,1.146038201656587,A(3-0-9),C-C-H
A,3,0,10.0,,0.3505816808370366,A(3-0-10),C-C-H
A,3,0,11.0,,0.14931725550932062,A(3-0-11),C-C-H
A,3,0,12.0,,1.0893616087221076,A(3-0-12),C-C-H
A,3,0,13.0,,1.4057283584918607,A(3-0-13),C-C-H
A,4,0,5.0,,0.5839895197946866,A(4-0-5),O-C-C
A,4,0,6.0,,2.509329279484329,A(4-0-6),O-C-H
A,4,0,7.0,,1.6460578099959977,A(4-0-7),O-C-H
A,4,0,8.0,,1.818578070343779,A(4-0-8),O-C-H
A,4,0,9.0,,1.6291061216033023,A(4-0-9),O-C-H
A,4,0,10.0,,0.7042436042797022,A(4-0-10),O-C-H
A,4,0,11.0,,0.5026152172678039,A(4-0-11),O-C-H
A,4,0,12.0,,0.9292507621203325,A(4-0-12),O-C-H
A,4,0,13.0,,0.9052597622053064,A(4-0-13),O-C-H
A,5,0,6.0,,1.9317676878976635,A(5-0-6),C-C-H
A,5,0,7.0,,1.9020638832354022,A(5-0-7),C-C-H
A,5,0,8.0,,2.2883255447554314,A(5-0-8),C-C-H
A,5,0,9.0,,1.772815007478188,A(5-0-9),C-C-H
A,5,0,10.0,,0.9447940692733248,A(5-0-10),C-C-H
A,5,0,11.0,,1.0338475489845802,A(5-0-11),C-C-H
A,5,0,12.0,,0.4966690351226037,A(5-0-12),C-C-H
A,5,0,13.0,,0.4820562625402287,A(5-0-13),C-C-H
A,6,0,7.0,,1.8908301280482973,A(6-0-7),H-C-H
A,6,0,8.0,,1.7930468944279543,A(6-0-8),H-C-H
A,6,0,9.0,,1.57522662321173,A(6-0-9),H-C-H
A,6,0,10.0,,2.207773178837813,A(6-0-10),H-C-H
A,6,0,11.0,,2.7075664873511847,A(6-0-11),H-C-H
A,6,0,12.0,,1.6076432936120577,A(6-0-12),H-C-H
A,6,0,13.0,,1.7254283085254254,A(6-0-13),H-C-H
A,7,0,8.0,,1.612330122036092,A(7-0-8),H-C-H
A,7,0,9.0,,2.3531890327002833,A(7-0-9),H-C-H
A,7,0,10.0,,2.184538577318264,A(7-0-10),H-C-H
A,7,0,11.0,,1.6847801899200483,A(7-0-11),H-C-H
A,7,0,12.0,,2.3908706368152988,A(7-0-12),H-C-H
A,7,0,13.0,,1.58033193515911,A(7-0-13),H-C-H
A,8,0,9.0,,0.745476733607536,A(8-0-9),H-C-H
A,8,0,10.0,,1.351562159718967,A(8-0-10),H-C-H
A,8,0,11.0,,1.3163058131013206,A(8-0-11),H-C-H
A,8,0,12.0,,2.097134595146095,A(8-0-12),H-C-H
A,8,0,13.0,,2.7236260524727824,A(8-0-13),H-C-H
A,9,0,10.0,,0.9327174240048003,A(9-0-10),H-C-H
A,9,0,11.0,,1.246355940037018,A(9-0-11),H-C-H
A,9,0,12.0,,1.4027065683823954,A(9-0-12),H-C-H
A,9,0,13.0,,2.2301596063294684,A(9-0-13),H-C-H
A,10,0,11.0,,0.49988530397050823,A(10-0-11),H-C-H
A,10,0,12.0,,0.8556006102113434,A(10-0-12),H-C-H
A,10,0,13.0,,1.4218873405169354,A(10-0-13),H-C-H
A,11,0,12.0,,1.2016859865532632,A(11-0-12),H-C-H
A,11,0,13.0,,1.4073414965171198,A(11-0-13),H-C-H
A,12,0,13.0,,0.8413940892894243,A(12-0-13),H-C-H
A,0,1,2.0,,1.9564871265916624,A(0-1-2),C-C-O
A,0,1,3.0,,1.5770946527986727,A(0-1-3),C-C-C
A,0,1,4.0,,1.0530675416210928,A(0-1-4),C-C-O
A,0,1,5.0,,0.6256362979852285,A(0-1-5),C-C-C
A,0,1,6.0,,0.49528857930362313,A(0-1-6),C-C-H
A,0,1,7.0,,0.50342825957413,A(0-1-7),C-C-H
A,0,1,8.0,,1.8878312255262182,A(0-1-8),C-C-H
A,0,1,9.0,,1.99684506398046,A(0-1-9),C-C-H
A,0,1,10.0,,1.6943159139180142,A(0-1-10),C-C-H
A,0,1,11.0,,1.7047273971521304,A(0-1-11),C-C-H
A,0,1,12.0,,0.8789314641085895,A(0-1-12),C-C-H
A,0,1,13.0,,0.459039040674636,A(0-1-13),C-C-H
A,2,1,3.0,,0.596425790311217,A(2-1-3),O-C-C
A,2,1,4.0,,0.9951323972955294,A(2-1-4),O-C-O
A,2,1,5.0,,1.5298786493315946,A(2-1-5),O-C-C
A,2,1,6.0,,2.4453410700252065,A(2-1-6),O-C-H
A,2,1,7.0,,1.7378379671142012,A(2-1-7),O-C-H
A,2,1,8.0,,1.810880776992956,A(2-1-8),O-C-H
A,2,1,9.0,,1.9527927856160139,A(2-1-9),O-C-H
A,2,1,10.0,,0.900888160231682,A(2-1-10),O-C-H
A,2,1,11.0,,0.38431025965915894,A(2-1-11),O-C-H
A,2,1,12.0,,1.6522493744361397,A(2-1-12),O-C-H
A,2,1,13.0,,1.6109052667269768,A(2-1-13),O-C-H
A,3,1,4.0,,0.5253374330538878,A(3-1-4),C-C-O
A,3,1,5.0,,1.0090873143848442,A(3-1-5),C-C-C
A,3,1,6.0,,1.9771791942547692,A(3-1-6),C-C-H
A,3,1,7.0,,1.623860653640109,A(3-1-7),C-C-H
A,3,1,8.0,,2.396447003854575,A(3-1-8),C-C-H
A,3,1,9.0,,1.753668202970052,A(3-1-9),C-C-H
A,3,1,10.0,,0.43808201322803836,A(3-1-10),C-C-H
A,3,1,11.0,,0.2130016478729483,A(3-1-11),C-C-H
A,3,1,12.0,,1.0585240416336725,A(3-1-12),C-C-H
A,3,1,13.0,,1.1383770116459333,A(3-1-13),C-C-H
A,4,1,5.0,,0.5350182969378587,A(4-1-5),O-C-C
A,4,1,6.0,,1.4828533114453182,A(4-1-6),O-C-H
A,4,1,7.0,,1.1500363670461131,A(4-1-7),O-C-H
A,4,1,8.0,,2.455829356497438,A(4-1-8),O-C-H
A,4,1,9.0,,1.9766588817201716,A(4-1-9),O-C-H
A,4,1,10.0,,0.7800250537022678,A(4-1-10),O-C-H
A,4,1,11.0,,0.6639496084752113,A(4-1-11),O-C-H
A,4,1,12.0,,0.7599171573916915,A(4-1-12),O-C-H
A,4,1,13.0,,0.6297171740238097,A(4-1-13),O-C-H
A,5,1,6.0,,0.9683437103411733,A(5-1-6),C-C-H
A,5,1,7.0,,0.9604565614545064,A(5-1-7),C-C-H
A,5,1,8.0,,2.4784704699082685,A(5-1-8),C-C-H
A,5,1,9.0,,1.80022133987248,A(5-1-9),C-C-H
A,5,1,10.0,,1.0687660093165223,A(5-1-10),C-C-H
A,5,1,11.0,,1.1833820118482608,A(5-1-11),C-C-H
A,5,1,12.0,,0.40316144058124426,A(5-1-12),C-C-H
A,5,1,13.0,,0.1771833960712155,A(5-1-13),C-C-H
A,6,1,7.0,,0.8518247342587119,A(6-1-7),H-C-H
A,6,1,8.0,,1.7215506431439112,A(6-1-8),H-C-H
A,6,1,9.0,,1.6199802619223873,A(6-1-9),H-C-H
A,6,1,10.0,,1.9285640790598988,A(6-1-10),H-C-H
A,6,1,11.0,,2.1459953099524482,A(6-1-11),H-C-H
A,6,1,12.0,,1.012980029545382,A(6-1-12),H-C-H
A,6,1,13.0,,0.8532349800219758,A(6-1-13),H-C-H
A,7,1,8.0,,1.5208980652576003,A(7-1-8),H-C-H
A,7,1,9.0,,2.4676076999564085,A(7-1-9),H-C-H
A,7,1,10.0,,1.9247449513813852,A(7-1-10),H-C-H
A,7,1,11.0,,1.6532700607987811,A(7-1-11),H-C-H
A,7,1,12.0,,1.3162399209591165,A(7-1-12),H-C-H
A,7,1,13.0,,0.7891247844410592,A(7-1-13),H-C-H
A,8,1,9.0,,1.8442160957145541,A(8-1-9),H-C-H
A,8,1,10.0,,2.631834529573626,A(8-1-10),H-C-H
A,8,1,11.0,,2.185720627285381,A(8-1-11),H-C-H
A,8,1,12.0,,2.731981666091381,A(8-1-12),H-C-H
A,8,1,13.0,,2.302576610922734,A(8-1-13),H-C-H
A,9,1,10.0,,1.3207097877655192,A(9-1-10),H-C-H
