rxn,r1_radius,r2_radius,alpha_angle,psi_1_dihedral,psi_2_dihedral,A_forward,A_unit_forward,n_forward,Ea_forward,Ea_unit_forward,T0_forward,T0_unit_forward,Tmin_forward,Tmin_unit_forward,Tmax_forward,Tmax_unit_forward,dA_forward,dn_forward,dEa_forward,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol,A_reverse,A_unit_reverse,n_reverse,Ea_reverse,Ea_unit_reverse,T0_reverse,T0_unit_reverse,Tmin_reverse,Tmin_unit_reverse,Tmax_reverse,Tmax_unit_reverse,dA_reverse,dn_reverse,dEa_reverse,group
rmg_rxn_86,1.4640955120260977,1.531798361857647,176.08501315888785,313.5503004056642,65.81991799606672,35.0182,cm^3/(mol*s),3.29395,-4.41292,kJ/mol,1.0,K,300.0,K,3000.0,K,1.04614,0.00587575,0.0336018,13.01,16.24,0.0,492.682,cm^3/(mol*s),3.31431,10.9829,kJ/mol,1.0,K,300.0,K,3000.0,K,1.13041,0.0159666,0.0913086,ATLAS
rxn_191,1.0226510790176155,1.2734056714532709,177.63282274146894,-10.0,339.359225510418,424557.0,cm^3/(mol*s),2.46562,13.4666,kJ/mol,1.0,K,300.0,K,3000.0,K,1.28952,0.0331189,0.189398,36.14,62.41,0.0,4391.91,cm^3/(mol*s),2.63266,44.9493,kJ/mol,1.0,K,300.0,K,3000.0,K,1.10377,0.0128596,0.0735402,ZEUS
rxn_618,1.2611863279574926,1.4283798991965804,173.40182501792899,292.58088416314115,244.91117188785617,0.000291905,cm^3/(mol*s),4.49305,36.3007,kJ/mol,1.0,K,300.0,K,3000.0,K,1.89344,0.0831516,0.475521,9.59,63.45,0.0,0.000552576,cm^3/(mol*s),4.50201,46.3449,kJ/mol,1.0,K,300.0,K,3000.0,K,1.91306,0.0844948,0.483202,ZEUS
rxn_1833,1.2596097154764132,1.430097093953895,176.84159382075958,233.01247254718052,348.3049608203629,0.0653099,cm^3/(mol*s),4.14783,5.03483,kJ/mol,1.0,K,300.0,K,3000.0,K,1.34665,0.0387657,0.22169,66.87,87.73,0.0,0.106318,cm^3/(mol*s),4.09432,70.5989,kJ/mol,1.0,K,300.0,K,3000.0,K,1.29099,0.0332676,0.190248,ZEUS
rmg_rxn_182,1.4644465607348214,1.5408735125130586,176.15200232519445,34.46877833266311,62.45575859426765,15.2844,cm^3/(mol*s),3.39171,3.26603,kJ/mol,1.0,K,300.0,K,3000.0,K,1.02687,0.00345353,0.0197498,38.9,52.33,0.0,121.683,cm^3/(mol*s),3.61982,44.566,kJ/mol,1.0,K,300.0,K,3000.0,K,1.22532,0.0264677,0.151361,ATLAS
rxn_1240,1.2611011138992163,1.463960508460119,169.81884705776824,202.7556705334487,330.0489835112712,0.000177896,cm^3/(mol*s),4.74934,91.9582,kJ/mol,1.0,K,300.0,K,3000.0,K,1.845,0.079776,0.456217,0.0,110.72,76.58,0.00103292,cm^3/(mol*s),4.41993,15.9971,kJ/mol,1.0,K,300.0,K,3000.0,K,1.71512,0.0702679,0.401843,ZEUS
rmg_rxn_157,1.233108450173843,1.5044061003490568,171.37105856716633,248.90381744537916,90.47705573001328,0.0805213,cm^3/(mol*s),3.79854,9.75479,kJ/mol,1.0,K,300.0,K,3000.0,K,1.22043,0.0259459,0.148378,149.4,171.58,0.0,0.0175564,cm^3/(mol*s),4.33134,160.174,kJ/mol,1.0,K,300.0,K,3000.0,K,1.37236,0.0412289,0.235777,ATLAS
rxn_563,1.2432712649550537,1.4728671866401264,176.82316964673893,217.09112626192967,210.65248063227435,0.451772,cm^3/(mol*s),3.59049,97.526,kJ/mol,1.0,K,300.0,K,3000.0,K,1.05161,0.00655489,0.0374856,0.0,101.25,99.26,0.137999,cm^3/(mol*s),3.57421,-2.57832,kJ/mol,1.0,K,300.0,K,3000.0,K,1.05536,0.0070184,0.0401363,ZEUS
rmg_rxn_521,1.3236886372811023,1.376920182936512,173.12377339260289,113.41947804209993,275.438777780662,7.80555e-07,cm^3/(mol*s),4.79716,17.1332,kJ/mol,1.0,K,300.0,K,3000.0,K,2.13706,0.0989169,0.565678,22.93,63.27,0.0,2.22722e-06,cm^3/(mol*s),4.8494,40.6695,kJ/mol,1.0,K,300.0,K,3000.0,K,2.09422,0.0962792,0.550594,ATLAS
rmg_rxn_16785,0.9393372969887815,1.2497764387483812,173.33216970137673,-10.0,359.9143859910476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
