rxn,direction,E0_total,E0_TS0,delta_E0
rmg_rxn_10,forward,-1802085.0,-1802060.0,25.0
rmg_rxn_10,reverse,-1802170.0,-1802060.0,110.0
rmg_rxn_1041,forward,-1096169.0,-1096190.0,-21.0
rmg_rxn_1041,reverse,-1096394.0,-1096190.0,204.0
rmg_rxn_1044,forward,-1749798.0,-1749810.0,-12.0
rmg_rxn_1044,reverse,-1750037.0,-1749810.0,227.0
rmg_rxn_1046,forward,-837495.0,-837507.0,-12.0
rmg_rxn_1046,reverse,-837743.0,-837507.0,236.0
rmg_rxn_1054,forward,-1543558.0,-1543510.0,48.0
rmg_rxn_1054,reverse,-1543747.0,-1543510.0,237.0
rmg_rxn_1066,forward,-734478.0,-734421.0,57.0
rmg_rxn_1066,reverse,-734586.0,-734421.0,165.0
rmg_rxn_1067,forward,-901783.0,-901805.0,-22.0
rmg_rxn_1067,reverse,-902039.0,-901805.0,234.0
rmg_rxn_1069,forward,-901803.0,-901819.0,-16.0
rmg_rxn_1069,reverse,-902026.0,-901819.0,207.0
rmg_rxn_1129,forward,-642819.0,-642810.0,9.0
rmg_rxn_1129,reverse,-642967.0,-642810.0,157.0
rmg_rxn_1130,forward,-197099.0,,
rmg_rxn_1130,reverse,-606461.0,,
rmg_rxn_1134,forward,-509659.0,-509647.0,12.0
rmg_rxn_1134,reverse,-509664.0,-509647.0,17.0
rmg_rxn_1137,forward,-746038.0,-745995.0,43.0
rmg_rxn_1137,reverse,-746132.0,-745995.0,137.0
rmg_rxn_1141,forward,-810263.0,-810270.0,-7.0
rmg_rxn_1141,reverse,-810295.0,-810270.0,25.0
rmg_rxn_1142,forward,-612810.0,-612799.0,11.0
rmg_rxn_1142,reverse,-612816.0,-612799.0,17.0
rmg_rxn_1146,forward,-1245689.0,-1245690.0,-1.0
rmg_rxn_1146,reverse,-1245736.0,-1245690.0,46.0
rmg_rxn_1147,forward,-545535.0,-545506.0,29.0
rmg_rxn_1147,reverse,-545565.0,-545506.0,59.0
rmg_rxn_1148,forward,-788122.0,-788087.0,35.0
rmg_rxn_1148,reverse,-788137.0,-788087.0,50.0
rmg_rxn_1150,forward,-788122.0,-788108.0,14.0
rmg_rxn_1150,reverse,-788152.0,-788108.0,44.0
rmg_rxn_1152,forward,-913427.0,-913409.0,18.0
rmg_rxn_1152,reverse,-913427.0,-913409.0,18.0
rmg_rxn_1153,forward,-603992.0,-603980.0,12.0
rmg_rxn_1153,reverse,-603993.0,-603980.0,13.0
rmg_rxn_1154,forward,-745977.0,-745956.0,21.0
rmg_rxn_1154,reverse,-745985.0,-745956.0,29.0
rmg_rxn_1155,forward,-1004635.0,-1004620.0,15.0
rmg_rxn_1155,reverse,-1004642.0,-1004620.0,22.0
rmg_rxn_1156,forward,-913427.0,-913419.0,8.0
rmg_rxn_1156,reverse,-913443.0,-913419.0,24.0
rmg_rxn_1157,forward,-913427.0,-913418.0,9.0
rmg_rxn_1157,reverse,-913431.0,-913418.0,13.0
rmg_rxn_1160,forward,-810276.0,-810260.0,16.0
rmg_rxn_1160,reverse,-810275.0,-810260.0,15.0
rmg_rxn_1161,forward,-707142.0,-707132.0,10.0
rmg_rxn_1161,reverse,-707149.0,-707132.0,17.0
rmg_rxn_1162,forward,-913427.0,-913437.0,-10.0
rmg_rxn_1162,reverse,-913461.0,-913437.0,24.0
rmg_rxn_1163,forward,-506467.0,-506433.0,34.0
rmg_rxn_1163,reverse,-506436.0,-506433.0,3.0
rmg_rxn_12,forward,-1606178.0,-1606160.0,18.0
rmg_rxn_12,reverse,-1606181.0,-1606160.0,21.0
rmg_rxn_1209,forward,-1151513.0,-1151510.0,3.0
rmg_rxn_1209,reverse,-1151628.0,-1151510.0,118.0
rmg_rxn_1210,forward,-1048388.0,-1048390.0,-2.0
rmg_rxn_1210,reverse,-1048497.0,-1048390.0,107.0
rmg_rxn_1211,forward,-1254698.0,-1254700.0,-2.0
rmg_rxn_1211,reverse,-1254778.0,-1254700.0,78.0
rmg_rxn_1212,forward,-847670.0,-847686.0,-16.0
rmg_rxn_1212,reverse,-847821.0,-847686.0,135.0
rmg_rxn_1216,forward,-783387.0,-783492.0,-105.0
rmg_rxn_1216,reverse,-783699.0,-783492.0,207.0
rmg_rxn_1221,forward,-737181.0,,
rmg_rxn_1221,reverse,-198836.0,,
rmg_rxn_13,forward,-1545171.0,-1545150.0,21.0
rmg_rxn_13,reverse,-1545165.0,-1545150.0,15.0
rmg_rxn_1337,forward,-1116589.0,,
rmg_rxn_1337,reverse,-805813.0,,
rmg_rxn_1339,forward,-2060694.0,-2060690.0,4.0
rmg_rxn_1339,reverse,-2060729.0,-2060690.0,39.0
rmg_rxn_1344,forward,-1115118.0,-1115100.0,18.0
rmg_rxn_1344,reverse,-1115180.0,-1115100.0,80.0
rmg_rxn_1345,forward,-1212674.0,-1212660.0,14.0
rmg_rxn_1345,reverse,-1212704.0,-1212660.0,44.0
rmg_rxn_1346,forward,-1202227.0,-1202060.0,167.0
rmg_rxn_1346,reverse,-1202030.0,-1202060.0,-30.0
rmg_rxn_1349,forward,-1118344.0,-1118300.0,44.0
rmg_rxn_1349,reverse,-1118370.0,-1118300.0,70.0
rmg_rxn_1357,forward,-1050828.0,-1051040.0,-212.0
rmg_rxn_1357,reverse,-1051053.0,-1051040.0,13.0
rmg_rxn_1363,forward,-1096153.0,-1096170.0,-17.0
rmg_rxn_1363,reverse,-1096382.0,-1096170.0,212.0
rmg_rxn_1366,forward,-1221456.0,-1221480.0,-24.0
rmg_rxn_1366,reverse,-1221473.0,-1221480.0,-7.0
rmg_rxn_13846,forward,-823286.0,-823251.0,35.0
rmg_rxn_13846,reverse,-823330.0,-823251.0,79.0
rmg_rxn_13847,forward,-823271.0,-823239.0,32.0
rmg_rxn_13847,reverse,-823330.0,-823239.0,91.0
rmg_rxn_13853,forward,-1215096.0,-1215070.0,26.0
rmg_rxn_13853,reverse,-1215154.0,-1215070.0,84.0
rmg_rxn_13854,forward,-1215118.0,-1215080.0,38.0
rmg_rxn_13854,reverse,-1215154.0,-1215080.0,74.0
rmg_rxn_13855,forward,-1215120.0,-1215090.0,30.0
rmg_rxn_13855,reverse,-1215154.0,-1215090.0,64.0
rmg_rxn_13856,forward,-1456194.0,-1456200.0,-6.0
rmg_rxn_13856,reverse,-1456213.0,-1456200.0,13.0
rmg_rxn_13857,forward,-1868774.0,-1868730.0,44.0
rmg_rxn_13857,reverse,-1868793.0,-1868730.0,63.0
rmg_rxn_13858,forward,-1868744.0,-1868700.0,44.0
rmg_rxn_13858,reverse,-1868793.0,-1868700.0,93.0
rmg_rxn_13859,forward,-956498.0,-956442.0,56.0
rmg_rxn_13859,reverse,-956584.0,-956442.0,142.0
rmg_rxn_13866,forward,-947701.0,-947653.0,48.0
rmg_rxn_13866,reverse,-947750.0,-947653.0,97.0
rmg_rxn_13867,forward,-512040.0,-512026.0,14.0
rmg_rxn_13867,reverse,-512142.0,-512026.0,116.0
rmg_rxn_13876,forward,-718363.0,,
rmg_rxn_13876,reverse,-407625.0,,
rmg_rxn_13881,forward,-1662474.0,-1662430.0,44.0
rmg_rxn_13881,reverse,-1662503.0,-1662430.0,73.0
rmg_rxn_13882,forward,-1662444.0,-1662410.0,34.0
rmg_rxn_13882,reverse,-1662503.0,-1662410.0,93.0
rmg_rxn_13885,forward,-956559.0,-956494.0,65.0
