rxn,label,A,A_units,n,Ea,Ea_units,T0,Tmin,Tmax,dA,dn,dEa,source_comment
kfir_rxn_13712,k_rev (TST),14.8235,cm^3/(mol*s),3.49251,88.5207,kJ/mol,1.0 K,300.0 K,3000.0 K,1.03737,0.00477863,0.0273277,"Fitted to 50 data points; dA = *|/ 1.03737, dn = +|- 0.00477863, dEa = +|- 0.0273277 kJ/mol"
kfir_rxn_13712,k_rev (TST+T),0.0560434,cm^3/(mol*s),4.16021,79.0388,kJ/mol,1.0 K,300.0 K,3000.0 K,1.3425,0.0383637,0.219391,"Fitted to 50 data points; dA = *|/ 1.3425, dn = +|- 0.0383637, dEa = +|- 0.219391 kJ/mol"
kfir_rxn_13712,k_for (TST+T),0.0350151,cm^3/(mol*s),4.19628,4.50494,kJ/mol,1.0 K,300.0 K,3000.0 K,1.33959,0.0380806,0.217772,"Fitted to 50 data points; dA = *|/ 1.33959, dn = +|- 0.0380806, dEa = +|- 0.217772 kJ/mol"
kfir_rxn_10214,k_rev (TST),1.20995,cm^3/(mol*s),3.43877,36.092,kJ/mol,1.0 K,300.0 K,3000.0 K,1.16517,0.0199114,0.113868,"Fitted to 50 data points; dA = *|/ 1.16517, dn = +|- 0.0199114, dEa = +|- 0.113868 kJ/mol"
kfir_rxn_10214,k_rev (TST+T),0.00014367,cm^3/(mol*s),4.53308,22.8744,kJ/mol,1.0 K,300.0 K,3000.0 K,2.14336,0.0993,0.567869,"Fitted to 50 data points; dA = *|/ 2.14336, dn = +|- 0.0993, dEa = +|- 0.567869 kJ/mol"
kfir_rxn_10214,k_for (TST+T),7.02137e-05,cm^3/(mol*s),4.59187,82.6055,kJ/mol,1.0 K,300.0 K,3000.0 K,2.15515,0.100015,0.571957,"Fitted to 50 data points; dA = *|/ 2.15515, dn = +|- 0.100015, dEa = +|- 0.571957 kJ/mol"
kfir_rxn_13503,k_rev (TST),0.0909541,cm^3/(mol*s),3.62495,20.6828,kJ/mol,1.0 K,300.0 K,3000.0 K,1.05733,0.00726158,0.041527,"Fitted to 50 data points; dA = *|/ 1.05733, dn = +|- 0.00726158, dEa = +|- 0.041527 kJ/mol"
kfir_rxn_13503,k_rev (TST+T),4.10629e-06,cm^3/(mol*s),4.82267,3.98751,kJ/mol,1.0 K,300.0 K,3000.0 K,1.69539,0.0687613,0.393227,"Fitted to 50 data points; dA = *|/ 1.69539, dn = +|- 0.0687613, dEa = +|- 0.393227 kJ/mol"
kfir_rxn_13503,k_for (TST+T),2.94427e-06,cm^3/(mol*s),5.01081,182.889,kJ/mol,1.0 K,300.0 K,3000.0 K,1.76514,0.0740128,0.423259,"Fitted to 50 data points; dA = *|/ 1.76514, dn = +|- 0.0740128, dEa = +|- 0.423259 kJ/mol"
kfir_rxn_9205,k_rev (TST),3539.0,cm^3/(mol*s),2.99329,41.6535,kJ/mol,1.0 K,300.0 K,3000.0 K,1.03551,0.00454528,0.0259932,"Fitted to 50 data points; dA = *|/ 1.03551, dn = +|- 0.00454528, dEa = +|- 0.0259932 kJ/mol"
