A,A_unit,n,Ea,Ea_unit,T0,T0_unit,Tmin,Tmin_unit,Tmax,Tmax_unit,dA,dn,dEa,folder,subfolder,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol
0.00202361,cm^3/(mol*s),4.71811,17.3265,kJ/mol,1.0,K,300.0,K,3000.0,K,2.05993,0.0941289,0.538297,ZEUS,rmg_rxn_15575,33.91,76.24,0.0
0.000275567,cm^3/(mol*s),4.18485,5.60554,kJ/mol,1.0,K,300.0,K,3000.0,K,1.38758,0.042665,0.243989,ZEUS,rmg_rxn_15724,92.55,115.17,0.0
1.05818e-05,cm^3/(mol*s),4.49671,3.73172,kJ/mol,1.0,K,300.0,K,3000.0,K,1.51265,0.0539059,0.308273,ZEUS,rmg_rxn_15670,45.47,71.75,0.0
0.00102388,cm^3/(mol*s),4.13733,5.73551,kJ/mol,1.0,K,300.0,K,3000.0,K,1.33646,0.0377762,0.216032,ZEUS,rmg_rxn_15508,26.96,49.77,0.0
0.000196738,cm^3/(mol*s),4.31059,10.2371,kJ/mol,1.0,K,300.0,K,3000.0,K,1.60131,0.0613252,0.350702,ZEUS,rmg_rxn_16548,29.57,59.22,0.0
0.000141599,cm^3/(mol*s),4.37266,5.29117,kJ/mol,1.0,K,300.0,K,3000.0,K,1.48987,0.0519294,0.29697,ZEUS,rmg_rxn_16528,20.29,45.13,0.0
0.0107112,cm^3/(mol*s),3.70087,-2.64998,kJ/mol,1.0,K,300.0,K,3000.0,K,1.05042,0.00640653,0.0366372,ZEUS,rmg_rxn_15566,49.84,63.45,0.0
0.0194676,cm^3/(mol*s),4.2371,10.3059,kJ/mol,1.0,K,300.0,K,3000.0,K,1.43125,0.0467009,0.267069,ZEUS,rmg_rxn_15545,88.9,114.62,0.0
0.00251893,cm^3/(mol*s),4.62927,14.4695,kJ/mol,1.0,K,300.0,K,3000.0,K,1.67553,0.0672267,0.384451,ZEUS,rmg_rxn_16719,0.0,37.15,8.45
0.00991599,cm^3/(mol*s),3.77169,-2.67636,kJ/mol,1.0,K,300.0,K,3000.0,K,1.05723,0.00724841,0.0414516,ZEUS,rmg_rxn_16649,30.25,43.0,0.0
0.024641,cm^3/(mol*s),3.70904,-2.33781,kJ/mol,1.0,K,300.0,K,3000.0,K,1.056,0.00709764,0.0405895,ZEUS,rmg_rxn_16506,48.77,61.52,0.0
163333.0,cm^3/(mol*s),2.59618,34.1298,kJ/mol,1.0,K,300.0,K,3000.0,K,1.40542,0.0443293,0.253507,ZEUS,rmg_rxn_15401,0.0,47.04,17.61
0.0834548,cm^3/(mol*s),3.7163,0.532932,kJ/mol,1.0,K,300.0,K,3000.0,K,1.104,0.0128865,0.0736943,ZEUS,rmg_rxn_15496,61.49,72.68,0.0
0.00497198,cm^3/(mol*s),4.55354,15.2661,kJ/mol,1.0,K,300.0,K,3000.0,K,1.71544,0.0702922,0.401982,ZEUS,rmg_rxn_15425,22.35,55.83,0.0
0.0110798,cm^3/(mol*s),4.49408,14.6437,kJ/mol,1.0,K,300.0,K,3000.0,K,1.65911,0.0659436,0.377113,ZEUS,rmg_rxn_15388,30.73,63.27,0.0
0.00631402,cm^3/(mol*s),4.24796,8.19483,kJ/mol,1.0,K,300.0,K,3000.0,K,1.42791,0.0463974,0.265334,ZEUS,rmg_rxn_15458,80.59,103.4,0.0
0.00900203,cm^3/(mol*s),3.87559,4.60908,kJ/mol,1.0,K,300.0,K,3000.0,K,1.23099,0.0270687,0.154799,ZEUS,rmg_rxn_15644,18.11,35.22,0.0
597381.0,cm^3/(mol*s),2.41346,-0.776831,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14218,0.0173149,0.0990191,ZEUS,rmg_rxn_15634,22.89,29.03,0.0
0.0662602,cm^3/(mol*s),3.80864,4.31989,kJ/mol,1.0,K,300.0,K,3000.0,K,1.16709,0.0201251,0.11509,ZEUS,rmg_rxn_15424,59.54,73.52,0.0
0.0854775,cm^3/(mol*s),3.87207,-1.74097,kJ/mol,1.0,K,300.0,K,3000.0,K,1.07842,0.00983415,0.0562388,ZEUS,rmg_rxn_15402,114.08,125.8,0.0
24.3022,cm^3/(mol*s),3.23554,-4.16966,kJ/mol,1.0,K,300.0,K,3000.0,K,1.07792,0.00977354,0.0558922,ZEUS,rmg_rxn_15605,22.7,28.97,0.0
9.77761e-05,cm^3/(mol*s),4.66215,27.0351,kJ/mol,1.0,K,300.0,K,3000.0,K,1.76591,0.0740693,0.423582,ZEUS,rmg_rxn_16613,0.0,45.8,15.34
1.79917e-05,cm^3/(mol*s),4.64929,9.27961,kJ/mol,1.0,K,300.0,K,3000.0,K,1.77432,0.0746881,0.427121,ZEUS,rmg_rxn_16497,15.66,47.5,0.0
0.00272816,cm^3/(mol*s),4.0487,1.21374,kJ/mol,1.0,K,300.0,K,3000.0,K,1.23481,0.0274718,0.157104,ZEUS,rmg_rxn_15420,31.11,48.43,0.0
7.27297e-05,cm^3/(mol*s),4.51893,14.242,kJ/mol,1.0,K,300.0,K,3000.0,K,1.77466,0.0747131,0.427263,ZEUS,rmg_rxn_15678,28.04,62.59,0.0
434612.0,cm^3/(mol*s),2.35114,39.2596,kJ/mol,1.0,K,300.0,K,3000.0,K,1.27378,0.0315196,0.180252,ZEUS,rmg_rxn_16786,21.33,71.92,0.0
3.57201,cm^3/(mol*s),3.4783,-4.66,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06561,0.00827762,0.0473374,ZEUS,rmg_rxn_15383,125.01,126.55,0.0
0.00631813,cm^3/(mol*s),3.88984,6.92123,kJ/mol,1.0,K,300.0,K,3000.0,K,1.2293,0.0268901,0.153777,ZEUS,rmg_rxn_15597,128.98,150.0,0.0
1.63906e-05,cm^3/(mol*s),4.32535,3.63877,kJ/mol,1.0,K,300.0,K,3000.0,K,1.42271,0.0459217,0.262614,ZEUS,rmg_rxn_15711,52.45,77.19,0.0
4.79626e-05,cm^3/(mol*s),4.62075,13.9837,kJ/mol,1.0,K,300.0,K,3000.0,K,1.808,0.0771377,0.441129,ZEUS,rmg_rxn_15439,26.31,60.78,0.0
0.000159168,cm^3/(mol*s),4.68271,24.7178,kJ/mol,1.0,K,300.0,K,3000.0,K,1.92518,0.0853171,0.487905,ZEUS,rmg_rxn_16806,30.11,74.71,0.0
0.00225841,cm^3/(mol*s),4.55551,15.1033,kJ/mol,1.0,K,300.0,K,3000.0,K,1.71042,0.0699112,0.399803,ZEUS,rmg_rxn_15417,24.98,58.11,0.0
8.13936e-07,cm^3/(mol*s),4.91031,19.3998,kJ/mol,1.0,K,300.0,K,3000.0,K,2.30596,0.108824,0.622337,ZEUS,rmg_rxn_15589,17.06,61.51,0.0
0.00712356,cm^3/(mol*s),4.3309,4.2201,kJ/mol,1.0,K,300.0,K,3000.0,K,1.43519,0.0470597,0.269121,ZEUS,rmg_rxn_16484,13.54,37.29,0.0
0.00150875,cm^3/(mol*s),4.40363,4.24053,kJ/mol,1.0,K,300.0,K,3000.0,K,1.46278,0.0495392,0.283301,ZEUS,rmg_rxn_16654,58.35,82.93,0.0
0.00592782,cm^3/(mol*s),4.03388,5.46531,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31325,0.0354939,0.20298,ZEUS,rmg_rxn_15620,16.73,37.5,0.0
0.000336352,cm^3/(mol*s),4.14363,2.13684,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31952,0.0361142,0.206527,ZEUS,rmg_rxn_16533,51.96,73.08,0.0
7.19853e-05,cm^3/(mol*s),4.45478,5.62788,kJ/mol,1.0,K,300.0,K,3000.0,K,1.58332,0.0598536,0.342286,ZEUS,rmg_rxn_16521,34.36,61.48,0.0
4.98802e-06,cm^3/(mol*s),4.51896,12.8939,kJ/mol,1.0,K,300.0,K,3000.0,K,1.72817,0.0712553,0.407489,ZEUS,rmg_rxn_15710,2.98,38.58,0.0
0.0165293,cm^3/(mol*s),4.25808,9.9582,kJ/mol,1.0,K,300.0,K,3000.0,K,1.4298,0.0465691,0.266316,ZEUS,rmg_rxn_15531,39.19,62.99,0.0
0.652084,cm^3/(mol*s),3.78164,115.719,kJ/mol,1.0,K,300.0,K,3000.0,K,1.21032,0.0248627,0.142183,ZEUS,rmg_rxn_14521,49.1,170.61,0.0
0.0028202,cm^3/(mol*s),4.12932,3.11694,kJ/mol,1.0,K,300.0,K,3000.0,K,1.29504,0.0336753,0.192579,ZEUS,rmg_rxn_15580,75.39,98.36,0.0
3.00155e-06,cm^3/(mol*s),4.45255,9.7707,kJ/mol,1.0,K,300.0,K,3000.0,K,1.69429,0.0686767,0.392743,ZEUS,rmg_rxn_15716,14.46,48.41,0.0
0.100339,cm^3/(mol*s),3.50765,-5.03526,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06864,0.00864718,0.0494508,ZEUS,rmg_rxn_16751,29.09,35.28,0.0
0.0181008,cm^3/(mol*s),4.32165,11.7867,kJ/mol,1.0,K,300.0,K,3000.0,K,1.49175,0.0520936,0.297909,ZEUS,rmg_rxn_15453,93.02,120.6,0.0
0.00058138,cm^3/(mol*s),4.57443,28.8959,kJ/mol,1.0,K,300.0,K,3000.0,K,1.74991,0.0728843,0.416805,ZEUS,rmg_rxn_15428,0.0,47.56,13.66
0.115074,cm^3/(mol*s),3.83159,-2.29947,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06439,0.00812774,0.0464803,ZEUS,rmg_rxn_15386,120.8,131.59,0.0
15.7723,cm^3/(mol*s),3.12528,5.15588,kJ/mol,1.0,K,300.0,K,3000.0,K,1.11486,0.0141622,0.08099,ZEUS,rmg_rxn_15396,115.34,127.48,0.0
5.57856e-07,cm^3/(mol*s),4.87723,22.7934,kJ/mol,1.0,K,300.0,K,3000.0,K,2.25388,0.105849,0.605322,ZEUS,rmg_rxn_15600,1.56,49.3,0.0
0.0222401,cm^3/(mol*s),3.78414,-1.35324,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08614,0.0107632,0.0615515,ZEUS,rmg_rxn_15701,77.39,89.35,0.0
0.0120741,cm^3/(mol*s),4.00832,7.64524,kJ/mol,1.0,K,300.0,K,3000.0,K,1.28467,0.0326283,0.186592,ZEUS,rmg_rxn_15407,52.06,72.56,0.0
0.00214582,cm^3/(mol*s),3.92664,0.360262,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14634,0.0177895,0.101733,ZEUS,rmg_rxn_15667,101.58,116.89,0.0
0.0173713,cm^3/(mol*s),4.10252,9.69458,kJ/mol,1.0,K,300.0,K,3000.0,K,1.32569,0.0367218,0.210002,ZEUS,rmg_rxn_16609,112.29,135.95,0.0
0.0012284,cm^3/(mol*s),4.54702,18.9523,kJ/mol,1.0,K,300.0,K,3000.0,K,1.74284,0.0723567,0.413788,ZEUS,rmg_rxn_15538,5.34,41.96,0.0
2.1499e-06,cm^3/(mol*s),4.70439,14.827,kJ/mol,1.0,K,300.0,K,3000.0,K,1.98594,0.0893644,0.51105,ZEUS,rmg_rxn_15633,19.09,57.59,0.0
0.00478445,cm^3/(mol*s),4.25848,7.65968,kJ/mol,1.0,K,300.0,K,3000.0,K,1.4189,0.0455721,0.260614,ZEUS,rmg_rxn_15477,45.85,68.78,0.0
