reaction_type,A,A_unit,n,Ea,Ea_unit,T0,T0_unit,Tmin,Tmin_unit,Tmax,Tmax_unit,dA,dn,dEa,status,group,reaction_id,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol
reverse,0.00123437,cm^3/(mol*s),4.79815,51.5915,kJ/mol,1.0,K,300.0,K,3000.0,K,2.0916,0.0961162,0.549662,parsed,ZEUS,rmg_rxn_15575,33.91,76.24,0.0
forward,0.00202361,cm^3/(mol*s),4.71811,17.3265,kJ/mol,1.0,K,300.0,K,3000.0,K,2.05993,0.0941289,0.538297,parsed,ZEUS,rmg_rxn_15575,33.91,76.24,0.0
reverse,0.000269622,cm^3/(mol*s),4.33186,98.6661,kJ/mol,1.0,K,300.0,K,3000.0,K,1.47824,0.0509093,0.291136,parsed,ZEUS,rmg_rxn_15724,92.55,115.17,0.0
forward,0.000275567,cm^3/(mol*s),4.18485,5.60554,kJ/mol,1.0,K,300.0,K,3000.0,K,1.38758,0.042665,0.243989,parsed,ZEUS,rmg_rxn_15724,92.55,115.17,0.0
reverse,1.12151e-05,cm^3/(mol*s),4.64347,49.4967,kJ/mol,1.0,K,300.0,K,3000.0,K,1.69045,0.0683813,0.391054,parsed,ZEUS,rmg_rxn_15670,45.47,71.75,0.0
forward,1.05818e-05,cm^3/(mol*s),4.49671,3.73172,kJ/mol,1.0,K,300.0,K,3000.0,K,1.51265,0.0539059,0.308273,parsed,ZEUS,rmg_rxn_15670,45.47,71.75,0.0
reverse,0.00225382,cm^3/(mol*s),4.00999,32.8896,kJ/mol,1.0,K,300.0,K,3000.0,K,1.29147,0.0333162,0.190526,parsed,ZEUS,rmg_rxn_15508,26.96,49.77,0.0
forward,0.00102388,cm^3/(mol*s),4.13733,5.73551,kJ/mol,1.0,K,300.0,K,3000.0,K,1.33646,0.0377762,0.216032,parsed,ZEUS,rmg_rxn_15508,26.96,49.77,0.0
reverse,8.79001e-05,cm^3/(mol*s),4.60721,40.3602,kJ/mol,1.0,K,300.0,K,3000.0,K,1.69984,0.0691026,0.395179,parsed,ZEUS,rmg_rxn_16548,29.57,59.22,0.0
forward,0.000196738,cm^3/(mol*s),4.31059,10.2371,kJ/mol,1.0,K,300.0,K,3000.0,K,1.60131,0.0613252,0.350702,parsed,ZEUS,rmg_rxn_16548,29.57,59.22,0.0
reverse,0.000499083,cm^3/(mol*s),4.50924,26.1896,kJ/mol,1.0,K,300.0,K,3000.0,K,1.58883,0.0603058,0.344872,parsed,ZEUS,rmg_rxn_16528,20.29,45.13,0.0
forward,0.000141599,cm^3/(mol*s),4.37266,5.29117,kJ/mol,1.0,K,300.0,K,3000.0,K,1.48987,0.0519294,0.29697,parsed,ZEUS,rmg_rxn_16528,20.29,45.13,0.0
reverse,0.00710334,cm^3/(mol*s),4.09344,47.6105,kJ/mol,1.0,K,300.0,K,3000.0,K,1.24128,0.0281531,0.161,parsed,ZEUS,rmg_rxn_15566,49.84,63.45,0.0
forward,0.0107112,cm^3/(mol*s),3.70087,-2.64998,kJ/mol,1.0,K,300.0,K,3000.0,K,1.05042,0.00640653,0.0366372,parsed,ZEUS,rmg_rxn_15566,49.84,63.45,0.0
reverse,0.0351154,cm^3/(mol*s),4.34892,101.083,kJ/mol,1.0,K,300.0,K,3000.0,K,1.51819,0.0543826,0.310999,parsed,ZEUS,rmg_rxn_15545,88.9,114.62,0.0
forward,0.0194676,cm^3/(mol*s),4.2371,10.3059,kJ/mol,1.0,K,300.0,K,3000.0,K,1.43125,0.0467009,0.267069,parsed,ZEUS,rmg_rxn_15545,88.9,114.62,0.0
reverse,0.000413857,cm^3/(mol*s),4.75443,5.69905,kJ/mol,1.0,K,300.0,K,3000.0,K,1.69549,0.0687689,0.39327,parsed,ZEUS,rmg_rxn_16719,0.0,37.15,8.45
forward,0.00251893,cm^3/(mol*s),4.62927,14.4695,kJ/mol,1.0,K,300.0,K,3000.0,K,1.67553,0.0672267,0.384451,parsed,ZEUS,rmg_rxn_16719,0.0,37.15,8.45
