rxn,label,A,A_units,n,Ea,Ea_units,T0,Tmin,Tmax,dA,dn,dEa,source_comment,A_log10,Ea_yj
kfir_rxn_13712,k_for (TST+T),0.0350151,cm^3/(mol*s),4.19628,4.50494,kJ/mol,1.0 K,300.0 K,3000.0 K,1.33959,0.0380806,0.217772,"Fitted to 50 data points; dA = *|/ 1.33959, dn = +|- 0.0380806, dEa = +|- 0.217772 kJ/mol",-1.4557446290079452,-0.7553078755125467
kfir_rxn_10214,k_for (TST+T),7.02137e-05,cm^3/(mol*s),4.59187,82.6055,kJ/mol,1.0 K,300.0 K,3000.0 K,2.15515,0.100015,0.571957,"Fitted to 50 data points; dA = *|/ 2.15515, dn = +|- 0.100015, dEa = +|- 0.571957 kJ/mol",-4.153578140663605,1.5200156401694842
kfir_rxn_13503,k_for (TST+T),2.94427e-06,cm^3/(mol*s),5.01081,182.889,kJ/mol,1.0 K,300.0 K,3000.0 K,1.76514,0.0740128,0.423259,"Fitted to 50 data points; dA = *|/ 1.76514, dn = +|- 0.0740128, dEa = +|- 0.423259 kJ/mol",-5.531022366164229,3.132919447449269
kfir_rxn_9205,k_for (TST+T),0.00787808,cm^3/(mol*s),4.3911,10.8363,kJ/mol,1.0 K,300.0 K,3000.0 K,1.48749,0.0517211,0.295779,"Fitted to 50 data points; dA = *|/ 1.48749, dn = +|- 0.0517211, dEa = +|- 0.295779 kJ/mol",-2.1035796133488947,-0.4156018621556608
kfir_rxn_8057,k_for (TST+T),222.517,cm^3/(mol*s),2.76961,83.1126,kJ/mol,1.0 K,300.0 K,3000.0 K,1.09457,0.0117699,0.0673086,"Fitted to 50 data points; dA = *|/ 1.09457, dn = +|- 0.0117699, dEa = +|- 0.0673086 kJ/mol",2.347363196099689,1.5298781844468352
kfir_rxn_9652,k_for (TST+T),10.7165,cm^3/(mol*s),3.39894,95.0113,kJ/mol,1.0 K,300.0 K,3000.0 K,1.03727,0.00476662,0.027259,"Fitted to 50 data points; dA = *|/ 1.03727, dn = +|- 0.00476662, dEa = +|- 0.027259 kJ/mol",1.0300529682970476,1.7542347890293544
kfir_rxn_9248,k_for (TST+T),4.85685e-30,cm^3/(mol*s),11.5887,28.2725,kJ/mol,1.0 K,300.0 K,3000.0 K,32.7563,0.454459,2.59892,"Fitted to 50 data points; dA = *|/ 32.7563, dn = +|- 0.454459, dEa = +|- 2.59892 kJ/mol",-29.31364530916403,0.2275328999081503
kfir_rxn_7559,k_for (TST+T),1.54661e-08,cm^3/(mol*s),5.56092,15.657,kJ/mol,1.0 K,300.0 K,3000.0 K,2.54517,0.12168,0.695857,"Fitted to 50 data points; dA = *|/ 2.54517, dn = +|- 0.12168, dEa = +|- 0.695857 kJ/mol",-7.810619186107551,-0.21021876551074573
kfir_rxn_7125,k_for (TST+T),7.00611e-07,cm^3/(mol*s),5.15511,97.718,kJ/mol,1.0 K,300.0 K,3000.0 K,2.35376,0.111497,0.637618,"Fitted to 50 data points; dA = *|/ 2.35376, dn = +|- 0.111497, dEa = +|- 0.637618 kJ/mol",-6.154523048288954,1.8035257231513144
kfir_rxn_7531,k_for (TST+T),80.5029,cm^3/(mol*s),3.2258,100.215,kJ/mol,1.0 K,300.0 K,3000.0 K,1.04765,0.00606322,0.0346739,"Fitted to 50 data points; dA = *|/ 1.04765, dn = +|- 0.00606322, dEa = +|- 0.0346739 kJ/mol",1.9058115254773373,1.848472327831653
kfir_rxn_5429,k_for (TST+T),3.01287,cm^3/(mol*s),3.08239,38.3328,kJ/mol,1.0 K,300.0 K,3000.0 K,1.2036,0.0241377,0.138037,"Fitted to 50 data points; dA = *|/ 1.2036, dn = +|- 0.0241377, dEa = +|- 0.138037 kJ/mol",0.4789803930405435,0.5183184200480497
kfir_rxn_11915,k_for (TST+T),0.00157828,cm^3/(mol*s),4.22538,-3.26923,kJ/mol,1.0 K,300.0 K,3000.0 K,1.04021,0.00513522,0.0293669,"Fitted to 50 data points; dA = *|/ 1.04021, dn = +|- 0.00513522, dEa = +|- 0.0293669 kJ/mol",-2.801815946837846,-1.820272064740863
kfir_rxn_1752,k_for (TST+T),12.6994,cm^3/(mol*s),3.38893,210.31,kJ/mol,1.0 K,300.0 K,3000.0 K,1.3658,0.0406044,0.232205,"Fitted to 50 data points; dA = *|/ 1.3658, dn = +|- 0.0406044, dEa = +|- 0.232205 kJ/mol",1.1037832026217294,3.4986601749556425
kfir_rxn_10218,k_for (TST+T),0.000664669,cm^3/(mol*s),4.4071,104.5,kJ/mol,1.0 K,300.0 K,3000.0 K,1.2384,0.0278501,0.159267,"Fitted to 50 data points; dA = *|/ 1.2384, dn = +|- 0.0278501, dEa = +|- 0.159267 kJ/mol",-3.1773945761422016,1.9244800650304104
kfir_rxn_10819,k_for (TST+T),0.566809,cm^3/(mol*s),3.85466,1.59716,kJ/mol,1.0 K,300.0 K,3000.0 K,1.14787,0.0179625,0.102722,"Fitted to 50 data points; dA = *|/ 1.14787, dn = +|- 0.0179625, dEa = +|- 0.102722 kJ/mol",-0.24656326248367125,-0.9733631661243787
kfir_rxn_679,k_for (TST+T),0.35644,cm^3/(mol*s),3.97997,178.958,kJ/mol,1.0 K,300.0 K,3000.0 K,1.15571,0.0188496,0.107795,"Fitted to 50 data points; dA = *|/ 1.15571, dn = +|- 0.0188496, dEa = +|- 0.107795 kJ/mol",-0.44801356500412537,3.078570024723654
kfir_rxn_10391,k_for (TST+T),3.25133e-07,cm^3/(mol*s),5.53437,25.2001,kJ/mol,1.0 K,300.0 K,3000.0 K,3.18638,0.150946,0.86322,"Fitted to 50 data points; dA = *|/ 3.18638, dn = +|- 0.150946, dEa = +|- 0.86322 kJ/mol",-6.487938948711915,0.13020267296486263
kfir_rxn_9400,k_for (TST+T),6324.51,cm^3/(mol*s),2.93952,107.993,kJ/mol,1.0 K,300.0 K,3000.0 K,1.13147,0.0160878,0.0920017,"Fitted to 50 data points; dA = *|/ 1.13147, dn = +|- 0.0160878, dEa = +|- 0.0920017 kJ/mol",3.80102688359654,1.9854378875236003
kfir_rxn_4836,k_for (TST+T),245.666,cm^3/(mol*s),3.37309,49.8393,kJ/mol,1.0 K,300.0 K,3000.0 K,1.20903,0.0247243,0.141392,"Fitted to 50 data points; dA = *|/ 1.20903, dn = +|- 0.0247243, dEa = +|- 0.141392 kJ/mol",2.3903450545910276,0.81299800531222
kfir_rxn_7195,k_for (TST+T),7.01074e-08,cm^3/(mol*s),6.03039,118.753,kJ/mol,1.0 K,300.0 K,3000.0 K,3.75882,0.172466,0.986286,"Fitted to 50 data points; dA = *|/ 3.75882, dn = +|- 0.172466, dEa = +|- 0.986286 kJ/mol",-7.154236138815807,2.1680042285047043
kfir_rxn_5584,k_for (TST+T),6.5123e-06,cm^3/(mol*s),5.07064,37.8683,kJ/mol,1.0 K,300.0 K,3000.0 K,3.07858,0.146463,0.837583,"Fitted to 50 data points; dA = *|/ 3.07858, dn = +|- 0.146463, dEa = +|- 0.837583 kJ/mol",-5.186265601155779,0.5056739727192153
kfir_rxn_1154,k_for (TST+T),2.77872,cm^3/(mol*s),3.46545,0.171697,kJ/mol,1.0 K,300.0 K,3000.0 K,1.03691,0.00472078,0.0269969,"Fitted to 50 data points; dA = *|/ 1.03691, dn = +|- 0.00472078, dEa = +|- 0.0269969 kJ/mol",0.4438447869423907,-1.1233857851012865
kfir_rxn_13651,k_for (TST+T),5.57207,cm^3/(mol*s),3.70602,3.05386,kJ/mol,1.0 K,300.0 K,3000.0 K,1.09266,0.0115425,0.0660085,"Fitted to 50 data points; dA = *|/ 1.09266, dn = +|- 0.0115425, dEa = +|- 0.0660085 kJ/mol",0.746016563678483,-0.8552855945897471
kfir_rxn_1315,k_for (TST+T),0.004804,cm^3/(mol*s),3.8226,31.3046,kJ/mol,1.0 K,300.0 K,3000.0 K,1.06567,0.00828477,0.0473783,"Fitted to 50 data points; dA = *|/ 1.06567, dn = +|- 0.00828477, dEa = +|- 0.0473783 kJ/mol",-2.3183970012691315,0.3192614270247649
kfir_rxn_5389,k_for (TST+T),0.000179739,cm^3/(mol*s),4.54079,45.2549,kJ/mol,1.0 K,300.0 K,3000.0 K,1.46654,0.0498743,0.285218,"Fitted to 50 data points; dA = *|/ 1.46654, dn = +|- 0.0498743, dEa = +|- 0.285218 kJ/mol",-3.745357678889342,0.6995270078131005
kfir_rxn_5161,k_for (TST+T),0.736156,cm^3/(mol*s),4.17151,106.594,kJ/mol,1.0 K,300.0 K,3000.0 K,1.76648,0.0741117,0.423824,"Fitted to 50 data points; dA = *|/ 1.76648, dn = +|- 0.0741117, dEa = +|- 0.423824 kJ/mol",-0.13303014386879108,1.9611282167448225
kfir_rxn_5172,k_for (TST+T),2.422e-08,cm^3/(mol*s),5.90207,49.4413,kJ/mol,1.0 K,300.0 K,3000.0 K,5.18987,0.214486,1.22658,"Fitted to 50 data points; dA = *|/ 5.18987, dn = +|- 0.214486, dEa = +|- 1.22658 kJ/mol",-7.615825861192967,0.8033307060420619
kfir_rxn_8291,k_for (TST+T),9.88779,cm^3/(mol*s),3.36146,7.55277,kJ/mol,1.0 K,300.0 K,3000.0 K,1.09144,0.0113973,0.065178,"Fitted to 50 data points; dA = *|/ 1.09144, dn = +|- 0.0113973, dEa = +|- 0.065178 kJ/mol",0.9950992341596193,-0.5776769243237648
kfir_rxn_4303,k_for (TST+T),1.65427e-07,cm^3/(mol*s),5.73639,83.7834,kJ/mol,1.0 K,300.0 K,3000.0 K,3.09967,0.147352,0.842668,"Fitted to 50 data points; dA = *|/ 3.09967, dn = +|- 0.147352, dEa = +|- 0.842668 kJ/mol",-6.781393606064973,1.5428843531492156
kfir_rxn_8536,k_for (TST+T),0.00324074,cm^3/(mol*s),4.69582,20.0448,kJ/mol,1.0 K,300.0 K,3000.0 K,1.81033,0.0773056,0.442089,"Fitted to 50 data points; dA = *|/ 1.81033, dn = +|- 0.0773056, dEa = +|- 0.442089 kJ/mol",-2.4893558104039957,-0.045248460654520366
kfir_rxn_11663,k_for (TST+T),1.18606e-13,cm^3/(mol*s),7.7079,119.523,kJ/mol,1.0 K,300.0 K,3000.0 K,5.61278,0.224689,1.28494,"Fitted to 50 data points; dA = *|/ 5.61278, dn = +|- 0.224689, dEa = +|- 1.28494 kJ/mol",-12.92589334047445,2.1807858786675287
kfir_rxn_8008,k_for (TST+T),7.12079e-05,cm^3/(mol*s),4.69099,1.39371,kJ/mol,1.0 K,300.0 K,3000.0 K,1.33868,0.0379922,0.217267,"Fitted to 50 data points; dA = *|/ 1.33868, dn = +|- 0.0379922, dEa = +|- 0.217267 kJ/mol",-4.1474718218676125,-0.9919858353771469
kfir_rxn_11197,k_for (TST+T),85.173,cm^3/(mol*s),3.17174,9.87479,kJ/mol,1.0 K,300.0 K,3000.0 K,1.16927,0.0203684,0.116481,"Fitted to 50 data points; dA = *|/ 1.16927, dn = +|- 0.0203684, dEa = +|- 0.116481 kJ/mol",1.9303019444217564,-0.4607425124597351
kfir_rxn_13897,k_for (TST+T),0.0071481,cm^3/(mol*s),4.17796,3.0881,kJ/mol,1.0 K,300.0 K,3000.0 K,1.27115,0.0312498,0.178709,"Fitted to 50 data points; dA = *|/ 1.27115, dn = +|- 0.0312498, dEa = +|- 0.178709 kJ/mol",-2.1458093804606846,-0.8527599012654477
kfir_rxn_11797,k_for (TST+T),1.54463e-07,cm^3/(mol*s),5.37128,80.6012,kJ/mol,1.0 K,300.0 K,3000.0 K,2.672,0.128014,0.732079,"Fitted to 50 data points; dA = *|/ 2.672, dn = +|- 0.128014, dEa = +|- 0.732079 kJ/mol",-6.8111755344931595,1.4807735889785982
