label,E0_value,E0_units,spin_multiplicity,optical_isomers,modes,frequency_value,frequency_units,frequency_list,rxn,species_type,smiles,arkane_path,path_exists
rmg_rxn_96_r1_CCtN,-348434.0,kJ/mol,1.0,1.0,"IdealGasTranslation(mass=(41.0266, 'amu')),         NonlinearRotor(             inertia = ([3.17088, 54.2986, 54.2986",,,,rmg_rxn_96,r0,CC#N,/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_96/output/Species/rmg_rxn_96_r1_CCtN/arkane/output.py,True
rmg_rxn_96_r2_sbr-CH2-sbrCSCC,-1459450.0,kJ/mol,2.0,2.0,"IdealGasTranslation(mass=(89.0425, 'amu')),         NonlinearRotor(             inertia = ([94.593, 177.437, 223.626",,,,rmg_rxn_96,r1,[CH2]CSCC,/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_96/output/Species/rmg_rxn_96_r2_sbr-CH2-sbrCSCC/arkane/output.py,True
rmg_rxn_96_p1_C=C=sbr-N-sbr,-346727.0,kJ/mol,2.0,1.0,"IdealGasTranslation(mass=(40.0187, 'amu')),         NonlinearRotor(             inertia = ([1.76513, 48.7017, 50.4668",,,,rmg_rxn_96,p0,C=C=[N],/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_96/output/Species/rmg_rxn_96_p1_C=C=sbr-N-sbr/arkane/output.py,True
rmg_rxn_96_p2_CCSCC,-1461170.0,kJ/mol,1.0,2.0,"IdealGasTranslation(mass=(90.0503, 'amu')),         NonlinearRotor(             inertia = ([97.9259, 182.785, 231.685",,,,rmg_rxn_96,p1,CCSCC,/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_96/output/Species/rmg_rxn_96_p2_CCSCC/arkane/output.py,True
TS0,-1807840.0,kJ/mol,2.0,2.0,"IdealGasTranslation(mass=(130.069, 'amu')),         NonlinearRotor(             inertia = ([257.648, 489.443, 589.921",-1685.03,cm^-1,,rmg_rxn_96,ts,[CH2]CSCC.CC#N,/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_96/output/rxns/TS0/arkane/output.py,True
rmg_rxn_2_r1_sbr-N-sbrN,-290291.0,kJ/mol,3.0,1.0,"IdealGasTranslation(mass=(30.0218, 'amu')),         NonlinearRotor(             inertia = ([1.67933, 14.8983, 16.0702",,,,rmg_rxn_2,r0,[N]N,/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_2/output/Species/rmg_rxn_2_r1_sbr-N-sbrN/arkane/output.py,True
rmg_rxn_2_r2_CCsbr-NH-sbr,-352968.0,kJ/mol,2.0,1.0,"IdealGasTranslation(mass=(44.05, 'amu')),         NonlinearRotor(             inertia = ([13.5046, 54.0855, 61.3855",,,,rmg_rxn_2,r1,CC[NH],/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_2/output/Species/rmg_rxn_2_r2_CCsbr-NH-sbr/arkane/output.py,True
rmg_rxn_2_p1_sbr-NH-sbrN,-291955.0,kJ/mol,2.0,2.0,"IdealGasTranslation(mass=(31.0296, 'amu')),         NonlinearRotor(             inertia = ([2.44556, 16.2707, 18.4662",,,,rmg_rxn_2,p0,[NH]N,/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_2/output/Species/rmg_rxn_2_p1_sbr-NH-sbrN/arkane/output.py,True
rmg_rxn_2_p2_CCsbr-N-sbr,-351301.0,kJ/mol,3.0,1.0,"IdealGasTranslation(mass=(43.0422, 'amu')),         NonlinearRotor(             inertia = ([13.2978, 49.7979, 56.7993",,,,rmg_rxn_2,p1,CC[N],/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_2/output/Species/rmg_rxn_2_p2_CCsbr-N-sbr/arkane/output.py,True
TS0,-643234.0,kJ/mol,2.0,2.0,"IdealGasTranslation(mass=(74.0718, 'amu')),         NonlinearRotor(             inertia = ([62.0993, 191.002, 209.783",-1733.24,cm^-1,,rmg_rxn_2,ts,CC[N].[NH]N,/home/calvin/Dropbox/PersonalFolders/Calvin/ATLAS_Converged/rmg_rxn_2/output/rxns/TS0/arkane/output.py,True
